fullname,full_address,gpt-response
"Key Laboratory of Obstetric and Gynecologic and Pediatric Diseases, Birth Defects of Ministry of Education","Chengdu, China",Unknown
"Engineering Research Center of Advanced Materials Preparing Technology, Ministry of Education","Shenyang, 110819, China",Northeastern University
"Department of Clinical Hematology, Key Laboratory of Laboratory Medical Diagnostics Designated of Ministry of Education, Chongqing Medical Univ.","Yuzhong District, Chongqing 400016, 1 Yixueyuan Road, China",Chongqing Medical University
"Key Laboratory of Optoelectronic Information Technical Science, Ministry of Education","Tianjin 300072, 92 Weijin Road, China",Tianjin University
"The Key Laboratory of Functional Molecular Solids, Ministry of Education, Anhui Laboratory of Molecule-Based Materials, Anhui Key Laboratory of Chemo-Biosensing",China,Unknown
"Key Lab of Microsystems and Microstructures Manufacturing (Ministry of Education), Micro/Nanotechnology Research Centre, Academy of Fundamental and Interdisciplinary Sciences, Harbin Institute of Technology","Yikuangjie 2, Harbin, 150080, China",Harbin Institute of Technology
"Key Laboratory of Road and Traffic Engineering of Ministry of Education, Tongji Univ, Tongda Bldg","4800 Cao'an Rd, Shanghai, 201804, China",Tongji University
"Key Laboratory of CBM Resources and Dynamic Accumulation Process (CUMT), Ministry of Education","Xuzhou 221008, China",China University of Mining and Technology
Key Laboratory of Oasis Ecology Ministry of Education,"Urumqi, 830046, China",Xinjiang University
"Key Lab. of Tectonics and Petroleum Resources, China Univ. of Geosciences Wuhan, Ministry of Education","Wuhan 430074, China",China University of Geosciences (Wuhan)
"Key Laboratory for Animal Disease, Resistance Nutrition of China, Ministry of Education","Ya'an, Sichuan 625014, China",Unknown
"Key Laboratory of Complex System Intelligent Control and Decision, Ministry of Education of China, Beijing Institute of Technology","Beijing 100081, China",Beijing Institute of Technology
"Engineering Research Center of Organosilicon Compound and Material, Ministry of Education of China","Wuhan, China",Unknown
"Key Laboratory of Science and Technology of Controllable Chemical Reactions, Ministry of Education",China,Unknown
"Key Laboratory of Photoelectron Imaging Technique and System (Ministry of Education of China), School of Optoelectronics, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Cluster Science, Ministry of Education, Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Engineering Research Center of High Value Utilization of Western China Fruit Resources, Ministry of Education","Xi'an, 710119, China",Northwest A&F University
"Engineering Research Center of Data Storage Systems and Technology, Ministry of Education of China, Wuhan National Laboratory for Optoelectronics, Key Laboratory of Information Storage System",China,Unknown
"Key Laboratory of CKD Prevention and Treatment, Ministry of Education of China","100034 Beijing, China",Peking University
"Key Laboratory of Non-Ferrous Metal Ore Forecast, Ministry of Education","Changsha 410083, China",Central South University
"Key Laboratory for Reproductive Endocrinology, Ministry of Education","Jinan 250021, 324 Jingwu Road, China",Shandong University
"The Key Laboratory of Road and Traffic Engineering, Ministry of Education, Tongji Univ","No. 4800, Cao'an Highway, Shanghai, 201804, China",Tongji University
"Key Laboratory of Cluster Science of Ministry of Education, Beijing Key Laboratory of Photoelectronic/Electrophotonic Conversion Materials, Analytical and Testing Center, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Micro-systems and Micro-structures Manufacturing, Ministry of Education, Harbin Institute of Technology","Harbin , 150001 , China",Harbin Institute of Technology
"Key Laboratory of Standardization of Chinese Medicines, Ministry of Education, Institute of Chinese material Medica","Shanghai, 201203, China",Unknown
"State Key Laboratory of Pollution Control and Resource Reuse, Key Laboratory of Yangtze River Water Environment, Ministry of Education","Shanghai 200092, No. 1239 Siping Road, China",Tongji University
"Ministry of Education Key Laboratory of Child Development and Disorders, Key Laboratory of Pediatrics in Chongqing","CSTC2009CA5002, China",Unknown
"Beijing Key Laboratory for Terahertz Spectroscopy and Imaging, Ministry of Education","Beijing 100048, China",Beijing University of Posts and Telecommunications
"Key Laboratory of Birth Defects and Related Diseases of Women and Children, Ministry of Education","16, Section 3, Renmin Nan Road, Chengdu, 610041, China",Sichuan University
"Key Laboratory for Green Chemical Process of Ministry of Education, Wuhan Institute of Technology, School of Chemical Engineering and Pharmacy","Wuhan 430073, China",Wuhan Institute of Technology
"Kay Laboratory of structural Central Engineering and Earthquake Resistance, Ministry of Education(XAUAT)","Xi'an, 710055, China",Xi'an University of Architecture and Technology
"Bionic Robot Key Laboratory of Ministry of Education, School of Optics and Photonics, Beijing Institute of Technology","Beijing, China",Beijing Institute of Technology
"Key Laboratory of Breast Cancer Prevention and Therapy, Ministry of Education",China,Unknown
"School of Computer Science and Engineering, Key Laboratory of Computer Network and Information Integration","Ministry of Education, Southeast University, Nanjing, Jiangsu Province, 210096, China",Southeast University
"Key Laboratory of Structure and Functional Regulation of Hybrid Materials (Ministry of Education), Anhui Province Key Laboratory of Chemistry for Inorganic/Organic Hybrid Functionalized Materials, School of Chemistry and Chemical Engineering","Hefei, 230601, China",University of Science and Technology of China
"Key Laboratory of Efficient Irrigation-Drainage and Agricultural Soil–Water Environment in Southern China, Ministry of Education","Nanjing, 210098, China",Hohai University
"Key Laboratory of Optical Communication and Lightwave Technologies, Ministry of Education","Beijing, China",Beijing University of Posts and Telecommunications
"Department of Mechanical Engineering, Tsinghua Univerisity, Ministry of Education","Beijing, 100084, China",Tsinghua University
Key Laboratory of Interface Science and Engineering in Advanced Materials Ministry of Education,"Taiyuan, 030024, China",Taiyuan University of Technology
"The Key Laboratory Of Industrial Biotechnology, Ministry Of Education, School Of Biotechnology, jiangnan university","Jiangsu, China",Jiangnan University
"Key Laboratory of Sustainable Exploitation of Oceanic Fisheries Resources, Ministry of Education","999 Hucheng Ring Road, Shanghai, 201306, China",Shanghai Ocean University
"Key Laboratory of Biomedical Engineering of Ministry of Education, Zhejiang Prov. Key Lab. of Cardio-Cerebr. Vasc. Detection Technol. and Med. Effectiveness Appraisal","Hangzhou, China",Zhejiang University
"The Key Lab of Pollution Control and Ecosystem Restoration in Industry Clusters, Ministry of Education, China","Guangzhou 510006, China",South China University of Technology
Good Agricultural Practice Engineering Research Center of Education Ministry,"Beijing 100102, China",China Agricultural University
"Key Laboratory, Ministry of Education for Band-Gap Semiconductor Materials and Devices, School of Microelectronics","Xi'an, 710071, China",Xidian University
"Key Lab of Structural Dynamic Behaviour and Control of the Ministry of Education, Harbin Institute of Technology","Harbin, China",Harbin Institute of Technology
Key Laboratory for Advanced Ceramics and Machining Technology of Ministry of Education,"Tianjin, 300072, China",Tianjin University
"Key Laboratory for Resilient Infrastructures of Coastal Cities, Ministry of Education, Ecological Technology Institute of Construction Engineering, Shenzhen Univ.","Guangdong, Shenzhen, 518060, China",Shenzhen University
"Key Laboratory of Theoretical Chemistry and Molecular Simulation, Hunan Province College, Ministry of Education",China,Hunan University
"Key Lab of Microsystem and Microstructure, Ministry of Education, Harbin Institute of Technology, School of Materials Science and Engineering","No. 2 YiKuang Street, Harbin, 150080, China",Harbin Institute of Technology
Key Laboratory of Ministry of Education for Oil and Gas Equipment,"Chengdu, 610500, China",Southwest Petroleum University
Province-Ministry Co-Construct Key Laboratory of Humid Subtropical Eco-geographical Process of Ministry of Education,"Fuzhou, 350007, China",Unknown
"Key Lab of Environment-Friendly Chemistry, Application in the Ministry of Education","Xiangtan, 411105, China",Unknown
"Key Laboratory of Transients in Hydraulic Machinery, Ministry of Education","Wuhan, China",Unknown
"Three Gorges Research Center for Geo-Hazard, Ministry of Education",China,Unknown
"Center for Ultrafast Science and Technology, Key Laboratory for Laser Plasmas, Ministry of Education, School of Physics and Astronomy, Collaborative Innovation Center of IFSA (CICIFSA)","Shanghai, 200240, China",Shanghai Jiao Tong University
"Key Laboratory for Green Chemical Process of Ministry of Education, Wuhan Institute of Technology","Wuhan, 430073, Hubei, China",Wuhan Institute of Technology
"Harbin Institute of Technology, Key Laboratory of Structures Dynamic Behavior and Control of the Ministry of Education","Harbin, 150090, China",Harbin Institute of Technology
Ministry of Education Key Laboratory of Child Development and Disorders,"No. 136 of Zhong Shan Er Lu, Chongqing, 400014, China",Unknown
"Engineering Research Center of Advanced Wooden Materials, Ministry of Education","Harbin, 150040, China",Harbin Institute of Technology
"Key Laboratory of Highway Engineering in Special Region, Ministry of Education, Chang'an Univ.","Xi'an, China",Chang'an University
"Dept. of Geotechnical Engineering, Key Laboratory of Geotechnical and Underground Engineering of Ministry of Education, Tongji Univ.","Shanghai 200092, China",Tongji University
"Alkali Soil Natural Environmental Science Center, Northeast Forestry Univ., Key Lab. of Saline-alkali, Vegetation Ecology Restoration in Oil Field, Ministry of Education","Harbin 150040, China",Northeast Forestry University
Key Laboratory of Protected Horticulture of Ministry of Education,"No. 120 Dongling Road, Shenhe District, Shenyang, 110866, China",Shenyang Agricultural University
"Ministry of Education Key Laboratory of Child Development and Disorders, Chongqing International Science and Technology Cooperation Center Child Development and Disorders, Key Laboratory of Pediatrics in Chongqing","Chongqing, 400014, China",Chongqing Medical University
Key Laboratory of the Ministry of Education for High Efficient Mining and Safety in Mental Mines,"Beijing, 100083, China",China University of Mining and Technology
"The Joint Laboratory for Internet of Vehicles, Ministry of Education – China Mobile Communications Corporation","Xi'an, 710064, Shaanxi, China",Northwestern Polytechnical University
"Key Lab of Structural Engineering and Earthquake Resistance, Ministry of Education, Xi'an Univ. of Architecture and Technology","Xi'an, 710055, China",Xi'an University of Architecture and Technology
"Key Lab of Eco-chemical Engineering, Ministry of Education, College of Chemistry and Molecular Engineering","Qingdao, 266042, China",Ocean University of China
"Key Laboratory of Industrial Ecology and Environmental Engineering, Ministry of Education of China, School of Environmental and Biological Science and Technology","Dalian, 116024, China",Dalian University of Technology
"Key Laboratory of Electronic Equipment Structure Design, Ministry of Education of China","No.2 South Taibai Road, Xi'an, China",Northwestern Polytechnical University
"Ministry of Education, Breast Cancer Innovation Team of the Ministry of Education","Tianjin, China",Unknown
"Key Laboratory of Manufacture and Test Techniques for Automobile Parts, Ministry of Education, Chongqing Institute of Technology","Chongqing 400050, China",Chongqing University of Technology
"Key Laboratory of Subsurface Hydrology and Ecology in Arid Areas, Ministry of Education","Xi’an, 710054, China",Xi'an University of Technology
"Key Laboratory of Traditional Chinese Medicine Resource and Compound Prescription, Hubei College of TCM, Ministry of Education","Wuhan 430065, China",Hubei College of TCM
"Key Laboratory of Medicinal Chemistry for Natural Resource, Ministry of Education, School of Chemical Science and Technology","Kunming 650091, China",Yunnan University
Key Laboratory of Education Ministry for Modern Design and Rotor-Bearing System,"Xi'an, China",Xi’an Jiaotong University
"Key Lab of Structures Dynamic Behavior and Control of the Ministry of Education, Harbin Institute of Technology","Heilongjiang, Harbin, 150090, China",Harbin Institute of Technology
"Ministry of Education, Key Laboratory of Pollution Control and Ecological Remediation for Industrial Agglomeration Area, Department of Environmental Science and Engineering","Guangzhou, China",South China University of Technology
The Key Laboratory of Image Processing and Intelligent Control of Education Ministry of China,"Wuhan, 430074, China",Huazhong University of Science and Technology
Key Lab of Bio-hydrometallurgy of Ministry of Education,"Changsha, Hunan, 410083, China",Central South University
Key Laboratory of Education Ministry for Image Processing and Intelligent Control,"1037 Luoyu Road, Wuhan, 430074, Hubei, China",Huazhong University of Science and Technology
"Tianjin Neurological Institute, Key Laboratory of Post-neurotrauma Neuro-repair and Regeneration in Central Nervous System, Ministry of Education and Tianjin City","Tianjin, 300052, China",Tianjin Medical University
"Key Laboratory of Coal Science and Technology, Ministry of Education, Institute of Special Chemicals","Taiyuan, 030024, China",Taiyuan University of Technology
"Functional Molecules Analysis and Biotransformation Key Laboratory of Universities in Yunnan Province, Key Laboratory of Medicinal Chemistry for Natural Resource, Ministry of Education, School of Chemical Science and Technology","Kunming, China",Yunnan University
"Key Laboratory of Corrosion and Protection, Chinese Ministry of Education","Beijing 100083, China",University of Science and Technology Beijing
Key Laboratory of Highway Engineering in Special Region of Ministry of Education,"Xi'an, 710061, Shanxi, China",Chang'an University
"The Key Lab. For Geographical Information System, Ministry of Education of China","129 Luoyu Rd., Wuhan, 430079, China",Wuhan University
"MIT Key Laboratory of Critical Materials Technology for New Energy Conversion and Storage, Key Laboratory of Microsystems and Microstructures Manufacturing, Ministry of Education, School of Chemistry and Chemical Engineering, Harbin Institute of Technology","Harbin, 150001, China",Harbin Institute of Technology
"Northeast Petr Univ, Key Lab Enhanced Oil & Gas Recovery, Minist Educ","Heilongjiang, Daqing, 163318, China",Northeast Petroleum University
"Key Laboratory of Green Chemical Process of Ministry of Education, Wuhan Institute of Technology","Wuhan, 430073, China",Wuhan Institute of Technology
"Key Laboratory of Power Machinery and Engineering, Ministry of Education, Shanghai Jiaotong Univ","Shanghai 200240, China",Shanghai Jiao Tong University
"Key Laboratory of Optoelectric Measurement and Optical Information Transmission Technology, The Ministry of Education",China,Unknown
"Key Laboratory of Biomimetic Robots and Systems, Ministry of Education, School of Optics and Photonics, Beijing Institute of Technology","Beijing, China",Beijing Institute of Technology
"Container Supply Chain Technology Engineering Research Center, Ministry of Education","Shanghai 200135, China",Shanghai Maritime University
"Key Lab of Hearing Impairment Science of Ministry of Education, Key Lab of Hearing Impairment Prevention and Treatment of Beijing, National Clinical Research Center for Otolaryngologic Diseases, College of Otolaryngology Head and Neck Surgery, Chinese PLA General Hospital, Chinese PLA Medical School","#28 Fuxing Road, Beijing, 100853, China",Chinese PLA Medical School
"School of Physics and Electronics, Synergetic Innovation Center for Quantum Effects and Application, Key Laboratory of Low-dimensional Quantum Structures and Quantum Control of Ministry of Education","Changsha, 410081, China",Hunan University
"Engineering Research Center of Unmanned Intelligent Marine Equipment, Ministry of Education","99 Shangda Rd., Shanghai, 200444, China",Shanghai University
"Subcenter of International Cooperation and Research on Lunar and Planetary Exploration, Center of Space Exploration, Ministry of Education of the People's Republic of China","Beijing, China",Unknown
"Engineering Research Center of Digital Forensics, Ministry of Education","Nanjing, 201144, China",Unknown
"Key Laboratory of Cluster Science, Ministry of Education of China, Department of Physics, Beijing Institute of Technology","Beijing 100081, China",Beijing Institute of Technology
"Key Laboratory of Coalbed Methane Resource and Reservoir Formation History, Ministry of Education(CUMT)","Xuzhou, 221008, China",China University of Mining and Technology
"School of Chemistry and Environmental Engineering, Key Laboratory of Green Chemical Engineering Process, Ministry of Education, Wuhan Institute of Technology","Wuhan, 430073, China",Wuhan Institute of Technology
"Key Laboratory of Special Functional Materials, Ministry of Education, Institute of Optical Communication Materials","Guangzhou, 510640, China",Unknown
"Key Laboratory of Underwater Acoustic Communication and Marine Information Technology, Ministry of Education of China","Xiamen 361005, China",Xiamen University
Key Laboratory of Genetics and Breeding in Forest Trees and Ornamental Plants of Ministry of Education,"Beijing, China",Unknown
"Ministry of Education, Key Laboratory of Mine Thermal Power Disaster and Prevention","Liaoning, Fuxin, 123000, China",China University of Mining and Technology
"Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Ministry of Education","Nanjing, China",Southeast University
School of Computational Science,"Zhongkai University of Argriculture and Engineering, Guangzhou, 510225, China and School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou 510006, China and Guangdong Key Laboratory of Modern Control Technology, Guangzhou 510070, China and Key Laboratory of Machine Intelligence and Advanced Computing, Ministry of Education, Guangzhou 510006, China.",Sun Yat-sen University
"School of Environmental Ecology and Biological Engineering, School of Chemistry and Environmental Engineering, Key Laboratory for Green Chemical Process of Ministry of Education, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Ministry of Education, Engineering Research Center of Oceanic Sensing Technology and Equipment","Zhoushan, 316021, China",Unknown
"Key Laboratory of Molecular Medicine, the Ministry of Education","Shanghai, 200032, China",Fudan University
"Xi'an Univ. of Arch. and Tech., Key Lab of Structural Engineering and Earthquake Resistance Ministry of Education","Xi'an 710055, China",Xi'an University of Architecture and Technology
"Key Laboratory of Advanced Textile Materials and Manufacturing Technology, Ministry of Education","Hangzhou, 310018, Zhejiang, China",Zhejiang Sci-Tech University
"State Key Laboratory of Food Science and Technology, Key Laboratory of Industrial Biotechnology of Ministry of Education, Synergetic Innovation Center of Food Safety and Nutrition, School of Biotechnology","Wuxi, Jiangsu, China",Jiangnan University
"Engineering Research Center of Transportation Safety, Ministry of Education",China,Beijing Jiaotong University
"Ministry of Education Key Laboratory of Child Development and Disorders, International Science and Technology Cooperation Base of Child Development and Critical Disorders, National Clinical Research Center for Child Health and Disorders, Chongqing Key Laboratory of Pediatrics, Chongqing Key Laboratory of Children Urogenital Development and Tissue Engineering","Chongqing, China",Chongqing Medical University
"Key Lab of Measurement and Control of Complex Systems of Engineering, Ministry of Education",China,Unknown
"Key Laboratory of Process Optimization and Intelligent Decision Making, Ministry of Education",China,Unknown
"Polymer Materials Research Center, Key Laboratory of Superlight Materials and Surface Technology, Ministry of Education, College of Materials Science and Chemical Engg., Harbin Engineering Univ.","Harbin, 150001, China",Harbin Engineering University
"Key Laboratory of Ecology of Rare and Endangered Species and Environmental Protection, Ministry of Education, Guangxi Key Lab. of Environmental Pollution Control Theory and Technology; Guangxi Normal Univ.","Guilin 541004, China",Guangxi Normal University
"Key Laboratory of Marine Drugs, Ministry of Education","5 Yushan Road, Qingdao, 266003, China",Ocean University of China
"Ministry of Education, Key Laboratory of Zoonosis","No.519 Dongminzhu Street, Changchun, 130061, China",Unknown
"Key Laboratory of the Ministry of Education for Wide Band-Gap Semiconductor Materials and Devices, Institute of Microelectronics","Xi'an, China",Xi'an Jiaotong University
"School of Chemistry and Chemical Engineering, Key Laboratory of Theoretical Chemistry and Molecular Simulation, Ministry of Education","Xiangtan, 411201, China",Xiangtan University
"Key Lab. Polymeric Compos. Funct. M., Ministry of Education of China","Guangzhou 510275, China",South China University of Technology
"Key Laboratory for Ultra Fine Materials, Ministry of Education","Shanghai 200237, China",Unknown
"Key Lab of Broadband Wireless Comm. and Sensor Network Technology, Ministry of Education","Nanjing, China",Southeast University
"Engineering Research Center of Green development for conventional aquatic biological industry in the Yangtze River Economic Belt, Ministry of Education","Wuhan, 430070, China",Unknown
"Key Laboratory of Standardization in Traditional Chinese Medicinal Materials, Ministry of Education","Chengdu 611137, China",Unknown
"Key Laboratory of Geotechnical Engineering, Ministry of Education","1239 Siping Road, Shanghai, 200092, China",Tongji University
"Engineering Research Center of Sustainable Development and Utilization of Biomass Energy, Ministry of Education","Kunming, Yunnan, China",Kunming University of Science and Technology
"Hunan Provincial Key Laboratory of Physical Fitness and Sports Rehabilitation, The Key Laboratory of Protein Chemistry, Developmental Biology of Ministry of Education","Qingyuan, Guangdong, China",Unknown
"Department of Neurobiology, Key Laboratory of Molecular Neurobiology, Ministry of Education","Shanghai 200433, China",Fudan University
"Key Laboratory of Science and Technology of Eco-Textiles, Ministry of Education, College of Textiles","Shanghai, 201620, China",Donghua University
Key Laboratory of Western Mine Exploitation and Hazard Prevention with Ministry of Education,"Xi'an, Shaanxi, 710054, China",Xi'an University of Science and Technology
"Beijing Institute of Technology, Key Laboratory of Photoelectronic Imaging Technology and System, Ministry of Education of China","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Symbolic Computation and Knowledge Engineer, Ministry of Education","ChangChun 130012, China",Jilin University
"Key Laboratory of Molecular Cardiovascular Sciences, Ministry of Education of China","Beijing 100191, China",Unknown
"School of Chemistry and Chemical Engineering, Beijing Institute of Technology, Key Laboratory of Cluster Science of Ministry of Education","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory for Water and Sediment Science, Ministry of Education","Beijing 100875, China",Unknown
"Key Laboratory of Cluster Science, Ministry of Education of China, Beijing, Key Laboratory of Photoelectronic/Electrophotonic Conversion Materials, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Beijing Institute of Technology, Key Laboratory of Photoelectronic Imaging Technology and Systems of Ministry of Education of China, School of Optoelectronics","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Advanced Optoelectronic Quantum Architecture and Measurements, Ministry of Education, Beijing Key Laboratory of Nanophotonics & Ultrafine Optoelectronic Systems, School of Physics, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Collaborative Innovation Center for Clinical and Translational Science by Chinese, Ministry of Education & Shanghai","Shanghai, China",Unknown
"Key Laboratory of Measurement and Control of Complex System Engineering, Ministry of Education","Nanjing, 210096, China",Southeast University
"Engineering Research Center of Digital Community, Ministry of Education","100 Ping Le Yuan, Chaoyang, Beijing, 100124, China",Beijing University of Posts and Telecommunications
"Key Laboratory of Cardiovascular Remodeling and Function Research, Chinese Ministry of Education, Chinese Ministry of Public Health","Jinan, China",Shandong University
The Ministry of Education Key Laboratory of Non-ferrous Metal Ore Forecast,"Changsha 410083, China",Central South University
"Intelligent Vehicle Research Center, Beijing Institute of Technology and Key Laboratory of Biomimetic Robots and Systems, Ministry of Education","Haidian District, Beijing, 5 South Zhongguancun Street, China",Beijing Institute of Technology
"Key Laboratory of High-Efficiency Mining and Safety of Metal Mines, Ministry of Education","Beijing 100083, China",China University of Mining and Technology
"Key Laboratory of Intelligent Computing in Medical Image, Ministry of Education","Shenyang, 110189, China",Northeastern University China
"Key Laboratory for Conveyance and Equipment, Ministry of Education","Nanchang, 330013, China",Nanchang University
"Engineering Research Center of Materials and Technology for Electrochemical Energy Storage, Ministry of Education","Guangzhou, 510006, China",South China University of Technology
Key Lab of Concrete and Prestressed Concrete Structures of Ministry of Education,"Nanjing, 210096, China",Southeast University
"Key Laboratory of Advanced Materials of Precious-Nonferrous Metals, Ministry of Education of P R China","Kunming 650093, China",Kunming University of Science and Technology
"Key Laboratory of Precision Opto-Mechatronics Technology, Ministry of Education, School of Instrument Science and Opto-Electronics Engineering","Beijing, 100191, China",Tsinghua University
"TSiNgHuA uNivERSiTY, SCHooL of MATERiALS SCiENCE ANd ENgiNEERiNg, KEY LABoRAToRY foR AdvANCEd MATERiALS PRoCESSiNg TECHNoLogY, MiNiSTRY of EduCATioN","BEiJiNg, 100084, China",Tsinghua University
"Key Laboratory of Assisted Reproduction, Ministry of Education","Beijing 100191, China",Unknown
Key Laboratory of Micro-Inertial Instrument and Advanced Navigation Technology Ministry of Education,"Nanjing, 210096, China",Nanjing University of Aeronautics and Astronautics
"Ministry of Education, Engineering Research Center of Intelligent Technology for Geo-Exploration","Wuhan, China",China University of Geosciences
"Center for Medical Research and Innovation in Digestive System Tumors, Ministry of Education",China,Unknown
"National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, Chongqing Key Laboratory of Pediatrics","Chongqing, China",Chongqing Medical University
"Ministry-of-Education, Key Laboratory for the Synthesis and Application of Organic Functional Molecules, College of Chemistry and Chemical Engineering","Wuhan, 430062, China",Wuhan University
"Key Laboratory of Drug Quality Control and Pharmacovilance, Ministry of Education","Nanjing 210009, China",China Pharmaceutical University
"State Key Laboratory of Explosion Science and Technology, Explosion Protection and Emergency Dispersal Technology Engineering Research Center, The Ministry of Education, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
Key Laboratory of Humid Subtropical Eco-geographical Process of the Ministry of Education,"Fuzhou 350007, China",Fujian Normal University
"Laboratory for Earth Surface Processes, The Ministry of Education","Beijing 100871, China",Peking University
"Key Laboratory of Biomedical Photonics of Ministry of Education, Wuhan National Laboratory for Optoelectronics, Hubei Bioinformatics and Molecular Imaging Key Laboratory","Wuhan 430074, Hubei, China",Huazhong University of Science and Technology
"School of Automation and Electrical Engineering, Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, Univ. of Science and Technology Beijing","Beijing, 100083, China",University of Science and Technology Beijing
Key Laboratory of Cognition and Personality (Ministry of Education),"Chongqing 400715, China",Southwest University
"Ministry of Education, Key Laboratory of Child Development and Disorders, Key Laboratory of Pediatrics in Chongqing, Chongqing International Sci. and Technology Cooperation Center for Child Development and Disorders","Chongqing, China",Unknown
"Key Lab of Science and Technology of Eco-textile, Ministry of Education, College of Chemistry","Shanghai, 201620, China",Donghua University
"Key Laboratory of Advanced Materials of Precious-Nonferrous Metals, Ministry of Education","Kunming 650093, China",Kunming University of Science and Technology
"Key Laboratory of Medicinal Resources and Natural Pharmaceutical Chemistry, Ministry of Education",China,Unknown
"Key Laboratory of High Altitude Medicine Ministry of Education, Key Laboratory of Application and Foundation for High Altitude Medicine Research in Qinghai Province (Qinghai-Utah Joint Research Key Lab for High Altitude Medicine","Xining, 810001, China",Unknown
"Key Laboratory of Opto-Elecronics Information Technology, Ministry of Education","Tianjin, 300072, China",Tianjin University
"Department of Biochemistry, Key Laboratory of Bioactive Materials, Ministry of Education","Tianjin, China",Tianjin University
"Key Laboratory of Complex System Intelligent Control and Decision of Ministry of Education, School of Automation, Beijing Institute of Technology","Beijing 100081, China",Beijing Institute of Technology
"Key Laboratory of Cluster Science, Ministry of Education of China, School of Chemistry and Chemical Engineering and Analysis & Testing Center, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory, Ministry of Education for Geomechanics and Embankment Engineering, Hohai Univ.","Jiangsu, Nanjing, 210098, China",Hohai University
"Key Laboratory of Structure-Based Drug Design and Discovery, Ministry of Education","BeiJing, China",Shandong University
"Engineering Research Center of Hydraulic Vibration and Control, Ministry of Education","Ma'anshan, Anhui, 243032, China",Hefei University of Technology
"Department of Chemistry, Key Laboratory for Atomic and Molecular Nanosciences, Education Ministry","100084 Beijing, China",Unknown
"Key Laboratory of Coalbed Methane Resources & Reservoir Formation Process, Ministry of Education","Xuzhou, 221008, China",China University of Mining and Technology
"Key Laboratory of Tea Biochemistry and Biotechnology, Ministry of Education, Ministry of Agriculture, Anhui Agricultural Univ","Hefei, 230036, China",Anhui Agricultural University
"Key Laboratory of Molecular and Nano Probes, Ministry of Education, Eng. Research Center of Pesticide and Medicine Intermediate Clean Production, Ministry of Education, College of Chemistry","Jinan 250014, China",Shandong University
"Key Lab. of Ministry of Education for Energy Eng. Safety and Disaster Mechanics, Sichuan Univ.","Chengdu 610065, China",Sichuan University
"Key Lab. of Underwater Acoustic Communication and Marine Information Technology (Xiamen Univ.), Ministry of Education","Xiamen 361005, China",Xiamen University
"Key Laboratory of Embedded System, Service Computing, Ministry of Education","Shanghai 201804, China",Shanghai Jiao Tong University
"Key Laboratory of Coal Gasification and Energy Chemical Engineering, Ministry of Education, Shanghai Engineering Research Center of Coal Gasification","Post Office Box 272, Shanghai, 200237, China",Unknown
"Hubei Key Laboratory of Plasma Chemistry and Advanced Materials, Hubei Key Laboratory of Novel Reactor and Green Chemical Technology, Engineering Research Center of Environmental Materials and Membrane Technology of Hubei Province, Key Laboratory for Green Chemical Process of Ministry of Education, School of Materials Science and Engineering, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
Key Lab. of All Optical Network and Advanced Telecommunication Network of Ministry of Education,"Beijing 100044, China",Beijing University of Posts and Telecommunications
"Engineering Research Center of Development and Management for Low to Extra-Low Permeability Oil & Gas Reservoirs in West China, Ministry of Education","Shaanxi, China",Xi'an Shiyou University
"Key Laboratory of Advanced Drug Preparation Technologies, Ministry of Education & School of Pharmaceutical Sciences","Zhengzhou, 450001, China",Zhengzhou University
Grassland Ecosystem Key Laboratory of Ministry of Education,"Lanzhou, 730070, China",Lanzhou University
Key Lab. of High Efficiency and Clean Mechanical Manufacture (Shandong Univ.) Min. of Educ.,"Jinan 250061, China",Shandong University
"Key Laboratory, Hohai Univ., Ministry of Education for Geomechanics and Embankment Engineering","Nanjing, China",Hohai University
"Engineering Research Center of Mining Underground Engineering, Ministry of Education","Huainan 232001, China",Anhui University of Science and Technology
"Key Laboratory of Meteorological Disaster, Ministry of Education, Joint International Research Lab. of Climate and Environment Change, Nanjing Uni. of Information Science and Tech., Collaborative Innovation Center on Forecast and Evaluation of Meteorological Disasters","Nanjing, China",Nanjing University of Information Science and Technology
"Key Laboratory of Optical Communication and Lightwave Technologies, Ministry of Education",China,Beijing University of Posts and Telecommunications
